,country,cou_code,region,data_source,date_updated,total_vax,vax_1+,total_vax_rate,vax_1+_rate,full_vax,full_vax_rate,vax_used,vax_date,num_vax_types,boost_add_dose,boost_add_dose_rate
0,Afghanistan,AFG,EMRO,REPORTING,2022-11-02,12140367.0,11165700.0,31.186,28.683,10458947.0,26.867,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-22,11.0,,
1,Albania,ALB,EURO,REPORTING,2022-10-16,2991576.0,1339100.0,104.0,47.053,1265900.0,44.481,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5.0,363122.0,12.759
2,Algeria,DZA,AFRO,REPORTING,2022-09-04,15267442.0,7840131.0,34.817,17.879,6481186.0,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4.0,575651.0,1.313
3,American Samoa,ASM,WPRO,REPORTING,2022-08-23,111316.0,44885.0,201.67,81.318,41423.0,75.046,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3.0,24160.0,43.77
4,Andorra,AND,EURO,REPORTING,2022-10-16,154320.0,57898.0,199.7,76.005,53482.0,70.208,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3.0,42940.0,56.369
5,Angola,AGO,AFRO,REPORTING,2022-10-30,22990789.0,14220830.0,69.953,43.269,7814121.0,23.776,SII - Covishield,2021-03-10,1.0,1127156.0,3.43
6,Anguilla,AIA,AMRO,REPORTING,2022-10-28,24434.0,10852.0,162.872,72.337,10366.0,69.097,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2.0,2998.0,19.984
7,Antigua and Barbuda,ATG,AMRO,REPORTING,2022-10-28,136512.0,64290.0,139.399,65.65,62384.0,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,6.0,9838.0,10.046
8,Argentina,ARG,AMRO,REPORTING,2022-10-07,109652736.0,41324100.0,242.617,91.434,37840119.0,83.725,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7.0,30810184.0,68.17
9,Armenia,ARM,EURO,REPORTING,2022-05-22,2150112.0,1129669.0,72.6,38.123,985807.0,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-06-16,8.0,40725.0,1.374
10,Aruba,ABW,AMRO,REPORTING,2022-10-28,173723.0,89961.0,162.714,84.26,83762.0,78.454,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2.0,,
11,Australia,AUS,WPRO,REPORTING,2022-09-28,63461493.0,22443557.0,248.87,88.014,21784904.0,85.431,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-21,5.0,14265648.0,55.944
12,Austria,AUT,EURO,REPORTING,2022-10-16,19596170.0,6889593.0,220.2,77.507,6671600.0,74.953,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-30,6.0,5359031.0,60.207
13,Azerbaijan,AZE,EURO,REPORTING,2022-10-16,13763859.0,5410598.0,135.7,53.363,4873700.0,48.068,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,5.0,3479563.0,34.318
14,Bahamas,BHS,AMRO,REPORTING,2022-10-28,362968.0,173529.0,92.301,44.128,165317.0,42.039,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-14,4.0,32960.0,8.382
15,Bahrain,BHR,EMRO,REPORTING,2022-11-02,3473923.0,1240911.0,204.159,72.927,1226421.0,72.076,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-04,11.0,1006591.0,59.156
16,Bangladesh,BGD,SEARO,REPORTING,2022-10-31,321135933.0,139094638.0,194.995,84.459,124138382.0,75.377,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-27,8.0,57902913.0,35.159
17,Barbados,BRB,AMRO,REPORTING,2022-10-28,380666.0,163707.0,132.463,56.966,154789.0,53.863,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-08,5.0,62170.0,21.634
18,Belarus,BLR,EURO,REPORTING,2022-10-16,16102869.0,6512843.0,170.4,68.924,6407148.0,67.805,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2021-02-03,4.0,3414776.0,36.138
19,Belgium,BEL,EURO,REPORTING,2022-10-16,28259334.0,9248836.0,245.3,80.268,9152369.0,79.431,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4.0,7222211.0,62.68
20,Belize,BLZ,AMRO,REPORTING,2022-10-28,501313.0,251358.0,126.076,63.214,220794.0,55.528,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5.0,51014.0,12.83
21,Benin,BEN,AFRO,REPORTING,2022-10-16,3693045.0,3207889.0,30.463,26.461,2691413.0,22.201,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-29,5.0,,
22,Bermuda,BMU,AMRO,REPORTING,2022-10-28,132042.0,48554.0,212.037,77.97,47657.0,76.529,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-11,2.0,31829.0,51.112
23,Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426.0,699116.0,260.68,90.605,677669.0,87.826,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-27,5.0,634641.0,82.249
24,Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2022-10-28,15448082.0,7416257.0,132.34,63.533,6222584.0,53.307,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-30,7.0,2302379.0,19.724
25,Bonaire,XAA,AMRO,REPORTING,2022-10-28,41537.0,17460.0,198.599,83.481,15919.0,76.113,,,,8158.0,39.005
26,"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,2021-09-01,35845.0,19109.0,137.934,73.533,16736.0,64.401,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0,,
27,Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950.0,943394.0,58.7,28.755,846080.0,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4.0,,
28,Botswana,BWA,AFRO,REPORTING,2022-10-02,2891400.0,1589621.0,122.953,67.597,1378230.0,58.608,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-26,6.0,466951.0,19.857
29,Brazil,BRA,AMRO,REPORTING,2022-10-28,487760773.0,185061541.0,229.47,87.063,167647519.0,78.871,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,5.0,104747469.0,49.279
30,British Virgin Islands,VGB,AMRO,REPORTING,2022-10-28,41453.0,19466.0,137.094,64.378,18261.0,60.393,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2021-02-11,2.0,3726.0,12.323
31,Brunei Darussalam,BRN,WPRO,REPORTING,2022-10-07,1278500.0,450060.0,292.243,102.876,445424.0,101.816,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-04-03,5.0,337552.0,77.158
32,Bulgaria,BGR,EURO,REPORTING,2022-10-16,4566807.0,2103303.0,65.7,30.257,2074596.0,29.844,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4.0,814226.0,11.713
33,Burkina Faso,BFA,AFRO,REPORTING,2022-10-02,4070678.0,3079151.0,19.474,14.73,2658480.0,12.718,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-06-02,3.0,,
34,Burundi,BDI,AFRO,REPORTING,2022-10-30,25983.0,24053.0,0.219,0.202,23471.0,0.197,Beijing CNBG - BBIBP-CorV,2021-10-18,1.0,53.0,0.0
35,Cabo Verde,CPV,AFRO,REPORTING,2022-09-25,859940.0,356734.0,154.669,64.162,308720.0,55.526,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,4.0,749.0,0.135
36,Cambodia,KHM,WPRO,REPORTING,2022-10-21,40463517.0,18317500.0,242.022,109.561,14578628.0,87.198,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-10,7.0,10272280.0,61.441
37,Cameroon,CMR,AFRO,REPORTING,2022-10-30,1924807.0,1638561.0,7.251,6.173,1286179.0,4.845,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-04-12,4.0,65518.0,0.247
38,Canada,CAN,AMRO,REPORTING,2022-10-28,89313710.0,32862216.0,236.642,87.07,31496105.0,83.451,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,5.0,19383516.0,51.358
39,Cayman Islands,CYM,AMRO,REPORTING,2022-10-28,149153.0,61787.0,226.952,94.016,60341.0,91.815,Pfizer BioNTech - Comirnaty,2021-01-15,1.0,24307.0,36.986
40,Central African Republic,CAF,AFRO,REPORTING,2022-10-23,1754834.0,1674402.0,36.334,34.668,1616195.0,33.463,"Bharat - Covaxin,SII - Covishield",2021-03-19,2.0,214090.0,4.433
41,Chad,TCD,AFRO,REPORTING,2022-10-02,3879297.0,3746216.0,23.617,22.807,3619014.0,22.032,Beijing CNBG - BBIBP-CorV,2021-06-04,1.0,,
42,Chile,CHL,AMRO,REPORTING,2022-10-28,62487951.0,18074974.0,326.885,94.553,17686528.0,92.521,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,5.0,15680420.0,82.027
43,China,CHN,WPRO,REPORTING,2022-10-02,3457953632.0,1307474015.0,235.029,88.866,1277277509.0,86.814,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2020-07-22,8.0,776425498.0,52.772
44,Colombia,COL,AMRO,REPORTING,2022-10-28,89209704.0,42828694.0,175.324,84.171,36763427.0,72.251,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,5.0,14301919.0,28.108
45,Comoros,COM,AFRO,REPORTING,2022-10-02,835021.0,438825.0,96.023,50.463,397080.0,45.662,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-04-10,3.0,,
46,Congo,COG,AFRO,REPORTING,2022-07-31,833210.0,695760.0,15.1,12.609,654119.0,11.854,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",2021-03-23,4.0,,
47,Cook Islands,COK,WPRO,REPORTING,2022-05-10,39612.0,15020.0,225.529,85.516,14676.0,83.557,Pfizer BioNTech - Comirnaty,2021-05-17,1.0,9916.0,56.456
48,Costa Rica,CRI,AMRO,REPORTING,2022-10-28,12169521.0,4500155.0,238.894,88.34,4219797.0,82.837,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-24,3.0,2639586.0,51.816
49,Côte d’Ivoire,CIV,AFRO,REPORTING,2022-10-23,20588390.0,12681498.0,78.051,48.076,9215656.0,34.937,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5.0,1243021.0,4.712
50,Croatia,HRV,EURO,REPORTING,2022-10-16,5356347.0,2317443.0,132.0,57.14,2244157.0,55.3,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,6.0,954118.0,23.511
51,Cuba,CUB,AMRO,REPORTING,2022-10-28,37902951.0,10709268.0,334.636,94.55,9997315.0,88.264,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3.0,8621669.0,76.119
52,Curaçao,CUW,AMRO,REPORTING,2022-10-28,255511.0,108557.0,155.711,66.156,99917.0,60.89,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-24,3.0,47037.0,28.665
53,Cyprus,CYP,EURO,REPORTING,2022-10-16,1824911.0,667243.0,205.5,75.14,655639.0,73.833,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5.0,485225.0,54.642
54,Czechia,CZE,EURO,REPORTING,2022-10-16,18215235.0,6967841.0,170.3,65.157,6882776.0,64.361,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5.0,4330325.0,40.493
55,Democratic Republic of the Congo,COD,AFRO,REPORTING,2022-10-23,6185534.0,6577469.0,6.906,7.344,5575771.0,6.226,SII - Covishield,2021-04-19,1.0,,
56,Denmark,DNK,EURO,REPORTING,2022-10-16,13189213.0,4808729.0,226.5,82.585,4771093.0,81.939,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-16,5.0,3655731.0,62.783
57,Djibouti,DJI,EMRO,REPORTING,2022-10-30,281656.0,261033.0,28.508,26.42,240665.0,24.359,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-15,11.0,,
58,Dominica,DMA,AMRO,REPORTING,2022-10-28,67647.0,32995.0,93.966,45.832,30659.0,42.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-12,5.0,3993.0,5.547
59,Dominican Republic,DOM,AMRO,REPORTING,2022-10-28,15829545.0,7289316.0,145.923,67.196,6056545.0,55.831,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3.0,2483684.0,22.896
60,Ecuador,ECU,AMRO,REPORTING,2022-10-28,38492480.0,15281438.0,218.174,86.614,14163964.0,80.281,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4.0,7369220.0,41.768
61,Egypt,EGY,EMRO,REPORTING,2022-10-30,100303642.0,53496777.0,98.016,52.276,39910404.0,39.0,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-24,10.0,9564972.0,9.347
62,El Salvador,SLV,AMRO,REPORTING,2022-10-28,11250496.0,4634978.0,173.453,71.459,4329694.0,66.752,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-17,6.0,1847442.0,28.483
63,Equatorial Guinea,GNQ,AFRO,REPORTING,2022-07-24,488738.0,270109.0,34.836,19.252,214032.0,15.255,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2021-02-12,2.0,4597.0,0.328
65,Estonia,EST,EURO,REPORTING,2022-10-16,2152705.0,844142.0,162.0,63.518,834837.0,62.818,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5.0,481619.0,36.24
66,Eswatini,SWZ,AFRO,REPORTING,2022-09-25,773579.0,492300.0,66.678,42.434,490673.0,42.293,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-19,3.0,147518.0,12.715
67,Ethiopia,ETH,AFRO,REPORTING,2022-07-31,52509414.0,43111242.0,45.675,37.5,36707357.0,31.93,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-13,4.0,2421781.0,2.107
68,Falkland Islands (Malvinas),FLK,AMRO,REPORTING,2022-06-21,9390.0,3220.0,269.595,92.449,2976.0,85.444,AstraZeneca - AZD1222,,1.0,2543.0,73.012
69,Faroe Islands,FRO,EURO,OWID,2022-02-18,103894.0,41715.0,212.614,85.368,40895.0,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0,21284.0,43.557
70,Fiji,FJI,WPRO,REPORTING,2022-09-29,1542401.0,710182.0,172.058,79.222,638724.0,71.251,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",2021-03-07,3.0,166760.0,18.602
71,Finland,FIN,EURO,REPORTING,2022-10-16,12916648.0,4542768.0,233.8,82.218,4358358.0,78.88,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,5.0,3055298.0,55.297
72,France,FRA,EURO,REPORTING,2022-10-16,153069144.0,53664707.0,227.4,79.716,52157654.0,77.477,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-30,6.0,40710314.0,60.473
73,French Guiana,GUF,AMRO,REPORTING,2022-10-28,236613.0,99140.0,79.219,33.192,89666.0,30.021,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,2.0,45474.0,15.225
74,French Polynesia,PYF,WPRO,REPORTING,2022-08-29,496275.0,190658.0,176.668,67.872,185669.0,66.096,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-18,2.0,111840.0,39.814
75,Gabon,GAB,AFRO,REPORTING,2022-10-30,569829.0,310842.0,25.602,13.966,257322.0,11.561,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-03-23,3.0,2586.0,0.116
76,Gambia,GMB,AFRO,REPORTING,2022-08-07,815861.0,452514.0,33.76,18.725,357390.0,14.789,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-10,2.0,9007.0,0.373
77,Georgia,GEO,EURO,REPORTING,2022-10-02,2720694.0,1293602.0,68.2,32.428,1178985.0,29.555,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-17,4.0,248107.0,6.22
78,Germany,DEU,EURO,REPORTING,2022-10-16,186739714.0,64797946.0,224.5,77.913,64887422.0,78.021,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,6.0,51811037.0,62.298
